CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,display_phone,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,INSPECTION TYPE,Latitude,Longitude,#_of_inspections,count_range,name,price,rating,review_count,transactions,neighborhood,categories_clean,latitude,longitude,address,city,zip_code,state,delivery,pickup,restaurant_reservation,asianfusion,bagels,bakeries,barbers,bars,chinese,comedyclubs,comfortfood,convenience,pizza,poke,seafood,seafoodmarkets,shanghainese,taiwanese,thai,tea,teppanyaki,ramen
41334807,2 BROS PIZZA,Manhattan,32,ST MARKS PLACE,10003,(212) 777-0600,Pizza,5/9/2019,Violations were cited in the following area(s).,Y,12,A,5/9/2019,Cycle Inspection / Initial Inspection,40.72880345,-73.98819455,12,20-Nov,2 Bros Pizza,$,3.5,258,"['delivery', 'pickup']",Garment District,['pizza'],40.75695,-73.9935,542 9th Ave,New York,10018,NY,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50010711,212 STEAKHOUSE,Manhattan,316,EAST   53 STREET,10022,(212) 858-0646,Steak,11/25/2019,Violations were cited in the following area(s).,Y,12,A,11/25/2019,Cycle Inspection / Re-inspection,40.75648285,-73.96653245,23,21-30,212 Steakhouse,$$$,4,671,"['delivery', 'pickup']",Midtown East,"['steak', 'wine_bars', 'seafood']",40.75634,-73.966489,316 E 53rd St,New York,10022,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50072975,22 THAI CUISINE,Manhattan,59,NASSAU STREET,10038,(212) 732-9250,Thai,2/28/2020,Violations were cited in the following area(s).,N,21,Z,2/28/2020,Cycle Inspection / Re-inspection,40.70917314,-74.00877573,13,20-Nov,22 Thai Cuisine,$,2.5,181,"['delivery', 'pickup']",Financial District,['thai'],40.70925,-74.0088,59 Nassau St,New York,10038,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50095160,2234 GREAT WALL INC,Manhattan,2234,1 AVENUE,10029,(212) 426-4888,Chinese,3/4/2020,Violations were cited in the following area(s).,N,39,C,3/4/2020,Pre-permit (Operational) / Re-inspection,40.79517094,-73.93599822,9,10-Jun,Great Wall,$,4,15,[],East Harlem,['chinese'],40.795074,-73.935684,2234 1st Ave,New York,10029,NY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50095004,251 GINZA SUSHI,Manhattan,251,EAST   35 STREET,10016,(212) 889-3333,Japanese,10/7/2019,Violations were cited in the following area(s).,N,13,A,10/7/2019,Pre-permit (Operational) / Initial Inspection,40.74578619,-73.97619899,3,5-Feb,251 Ginza Sushi,$$,4,228,"['pickup', 'delivery']",Midtown East,"['sushi', 'japanese']",40.74593898,-73.97585489,251 E 35th St,New York,10016,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50089270,27 MORTON,Manhattan,27,MORTON STREET,10014,(212) 929-4339,Eastern European,1/28/2020,Violations were cited in the following area(s).,Y,13,A,1/28/2020,Cycle Inspection / Re-inspection,40.73102174,-74.00457152,14,20-Nov,27 Morton,$$,4.5,72,"['delivery', 'pickup']",Midtown West,"['hungarian', 'german', 'georgian']",40.73111,-74.00452,27 1/2 Morton St,New York,10014,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50039747,28 MING'S CAFFE,Manhattan,28,CANAL STREET,10002,(212) 978-1888,Chinese,8/5/2019,Violations were cited in the following area(s).,N,8,A,8/5/2019,Cycle Inspection / Initial Inspection,40.71445951,-73.99046605,6,10-Jun,Ming's Caffe,$,4,119,[],Chinatown,"['chinese', 'hkcafe']",40.714321,-73.990509,28 Canal St,New York,10002,NY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41288201,2ND AVE DELI,Manhattan,162,EAST   33 STREET,10016,(212) 689-9000,Jewish/Kosher,8/1/2019,Violations were cited in the following area(s).,Y,9,A,8/1/2019,Cycle Inspection / Initial Inspection,40.74543825,-73.9795482,8,10-Jun,2nd Ave Deli,$$,4,1000,"['pickup', 'delivery']",Midtown East,"['delis', 'kosher', 'sandwiches']",40.74519,-73.97918,162 E 33rd St,New York,10016,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41588604,2ND AVENUE DELI,Manhattan,1442,1 AVENUE,10021,(212) 737-1700,Jewish/Kosher,1/3/2020,Violations were cited in the following area(s).,Y,10,A,1/3/2020,Cycle Inspection / Initial Inspection,40.76964812,-73.95463727,6,10-Jun,2nd Ave Deli,$$,3.5,339,"['pickup', 'delivery']",Upper East Side,"['delis', 'sandwiches', 'kosher']",40.76956896,-73.95449278,1442 1st Ave,New York,10021,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50062581,375 THRICE COOKED FRIES,Manhattan,124,LUDLOW STREET,10002,(646) 682-7578,American,1/8/2020,Violations were cited in the following area(s).,N,3,A,1/8/2020,Cycle Inspection / Initial Inspection,40.71971831,-73.98852445,17,20-Nov,375 Chicken 'n Fries,$$,4,230,"['pickup', 'delivery']",Chinatown,['hotdogs'],40.7197,-73.98844,124 Ludlow St,New York,10002,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41488338,388 CAFE & DELI,Manhattan,13,ELDRIDGE STREET,10002,(212) 219-1318,Chinese,12/11/2019,Violations were cited in the following area(s).,Y,10,A,12/11/2019,Cycle Inspection / Initial Inspection,40.7147644,-73.99371615,7,10-Jun,388 Cafe & Deli,$,4.5,20,[],Little Italy,"['cafes', 'delis']",40.71449157,-73.99390916,3 Eldridge St,New York,10002,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40809948,44 & X HELL'S KITCHEN,Manhattan,622,10 AVENUE,10036,(212) 977-1170,American,11/20/2019,Violations were cited in the following area(s).,N,13,A,11/20/2019,Cycle Inspection / Re-inspection,40.76115643,-73.99434347,16,20-Nov,44 & X Hell's Kitchen,$$,3.5,883,[],Midtown West,"['newamerican', 'breakfast_brunch', 'bars']",40.7611032,-73.9941787,622 10th Ave,New York,10036,NY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50043509,5 NAPKIN,Manhattan,1325,2 AVENUE,10021,(212) 249-0777,American,11/12/2019,Violations were cited in the following area(s).,N,12,A,11/12/2019,Cycle Inspection / Initial Inspection,40.76733609,-73.95944392,14,20-Nov,5 Napkin Burger,$$,3.5,240,"['pickup', 'delivery']",East Harlem,"['burgers', 'tradamerican']",40.7674315,-73.9596625,1325 2nd Ave,New York,10021,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41460077,5 NAPKIN BURGER,Manhattan,2315,BROADWAY,10024,(212) 333-4488,Hamburgers,5/13/2019,Violations were cited in the following area(s).,N,12,A,5/13/2019,Cycle Inspection / Initial Inspection,40.78689472,-73.97770816,18,20-Nov,5 Napkin Burger,$$,3.5,816,"['delivery', 'pickup']",East Harlem,['burgers'],40.78707609,-73.977925,2315 Broadway,New York,10024,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41628697,5 NAPKIN BURGER,Manhattan,150,EAST   14 STREET,10003,(212) 228-5500,American,5/7/2019,Violations were cited in the following area(s).,N,7,A,5/7/2019,Cycle Inspection / Initial Inspection,40.73365618,-73.98808183,7,10-Jun,5 Napkin Burger Express,N/A,4,3,['delivery'],Greenwich Village,['burgers'],40.733202,-73.987538,150 E 14th St,New York,10003,NY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41628697,5 NAPKIN BURGER,Manhattan,150,EAST   14 STREET,10003,(212) 228-5500,American,5/7/2019,Violations were cited in the following area(s).,N,7,A,5/7/2019,Cycle Inspection / Initial Inspection,40.73365618,-73.98808183,7,10-Jun,5 Napkin Burger,$$,3.5,821,"['delivery', 'pickup']",Greenwich Village,['burgers'],40.7332438,-73.9874588,150 E 14th St,New York,10003,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50014906,5 STAR CHEESE STEAK AND PIZZA,Manhattan,2039,1 AVENUE,10029,(212) 987-1540,Pizza,4/1/2019,Violations were cited in the following area(s).,Y,11,A,4/1/2019,Cycle Inspection / Initial Inspection,40.78904158,-73.9405002,13,20-Nov,5 Star Cheese Steak and Pizza,$,2.5,23,"['pickup', 'delivery']",Morningside Heights,"['pizza', 'cheesesteaks']",40.78931,-73.94071,2039 1st Ave,Manhattan,10029,NY,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50100251,5 STAR CHEESE STEAK AND PIZZA,Manhattan,2039,1 AVENUE,10029,(212) 987-1540,Pizza,2/3/2020,Violations were cited in the following area(s).,Y,13,A,2/3/2020,Pre-permit (Operational) / Re-inspection,40.78904158,-73.9405002,9,10-Jun,5 Star Cheese Steak and Pizza,$,2.5,23,"['pickup', 'delivery']",Morningside Heights,"['pizza', 'cheesesteaks']",40.78931,-73.94071,2039 1st Ave,Manhattan,10029,NY,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50095733,53RD STREET FINE DINING,Manhattan,610,LEXINGTON AVENUE,10022,(212) 451-9211,Other,1/15/2020,Violations were cited in the following area(s).,N,11,A,1/15/2020,Pre-permit (Operational) / Initial Inspection,40.75817762,-73.97114469,3,5-Feb,Le Jardinier,N/A,4,43,[],Midtown East,['french'],40.7582033,-73.9713074,610 Lexington Ave,New York,10022,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41219092,5TH & MAD,Manhattan,7,EAST   36 STREET,10016,(212) 725-2353,Irish,7/3/2019,Violations were cited in the following area(s).,N,10,A,7/3/2019,Cycle Inspection / Initial Inspection,40.74950656,-73.98309835,31,31+,5th & Mad,$$,3.5,227,"['delivery', 'pickup']",Garment District,"['gastropubs', 'cocktailbars']",40.74962,-73.98315,7 E 36th St,New York,10016,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50088377,77 BURGER,Manhattan,77,PEARL STREET,10004,(212) 825-0354,Hamburgers,8/8/2019,Violations were cited in the following area(s).,Y,12,A,8/8/2019,Cycle Inspection / Initial Inspection,40.70394698,-74.01029705,9,10-Jun,77 Burger,N/A,4.5,3,"['delivery', 'pickup']",Financial District,"['burgers', 'juicebars', 'hotdog']",40.7039601,-74.01041999,77 Pearl St,New York,10004,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50072002,82 STANTON,Manhattan,82,STANTON STREET,10002,(212) 473-2010,American,11/14/2019,Violations were cited in the following area(s).,Y,13,A,11/14/2019,Cycle Inspection / Re-inspection,40.72155184,-73.98880913,10,10-Jun,82 Stanton,$$,4.5,15,"['delivery', 'pickup']",Chinatown,"['bars', 'newamerican', 'burgers']",40.721701,-73.988817,82 Stanton St,New York,10002,NY,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41650149,83 1/2,Manhattan,345,EAST   83 STREET,10028,(212) 737-8312,Italian,5/21/2019,Violations were cited in the following area(s).,Y,10,A,5/21/2019,Cycle Inspection / Initial Inspection,40.77546321,-73.95206257,10,10-Jun,83 1/2,$$$,4,172,"['pickup', 'delivery']",East Harlem,['italian'],40.775354,-73.951216,345 E 83rd St,New York,10028,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50084800,88 CHINESE RESTAURANT,Manhattan,473,LENOX AVENUE,10037,(212) 281-1288,Chinese,1/23/2020,Violations were cited in the following area(s).,N,26,Z,TBD,Cycle Inspection / Initial Inspection,40.81311359,-73.94159128,7,10-Jun,88 Chinese Restaurant,$,3,17,[],Harlem,['chinese'],40.81335992,-73.94180239,473 Malcolm X Blvd,New York,10037,NY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50097360,8SIA,Manhattan,220,EAST   42 STREET,10017,(917) 261-6970,Asian,2/24/2020,Violations were cited in the following area(s).,Y,28,N,TBD,Pre-permit (Operational) / Initial Inspection,40.75024852,-73.9732559,3,5-Feb,8SIA,N/A,3.5,16,"['delivery', 'pickup']",Midtown East,"['food_court', 'asianfusion', 'chinese']",40.749954,-73.973036,220 E 42nd St,New York,10017,NY,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41273802,8TH STREET WINECELLAR,Manhattan,28,WEST    8 STREET,10011,(212) 260-9463,American,1/17/2020,Violations were cited in the following area(s).,N,20,Z,TBD,Cycle Inspection / Initial Inspection,40.73271532,-73.99747784,19,20-Nov,8th Street Winecellar,$$,4,357,[],Greenwich Village,"['wine_bars', 'cocktailbars', 'tapasmallplates']",40.7327981,-73.9978351,28 W 8th St,New York,10011,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50063422,98 Favor Taste,Manhattan,37,SAINT MARKS PLACE,10003,(212) 256-0480,Chinese,4/9/2019,Violations were cited in the following area(s).,N,11,A,4/9/2019,Cycle Inspection / Initial Inspection,40.7287403,-73.98799972,18,20-Nov,99 Favor Taste,$$,4,676,"['pickup', 'delivery']",Greenwich Village,"['hotpot', 'bbq', 'chinese']",40.728833,-73.988094,37 St Marks Pl,New York,10003,NY,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41533306,99 CENT EXPRESS PIZZA,Manhattan,301,WEST   43 STREET,10036,(212) 315-5257,Pizza,1/2/2020,Violations were cited in the following area(s).,N,11,A,1/2/2020,Cycle Inspection / Re-inspection,40.75808747,-73.98971981,19,20-Nov,99 Cent Express Pizza,$,3.5,90,"['pickup', 'delivery']",Garment District,['pizza'],40.7580986,-73.9893951,301 W 43rd St,New York,10036,NY,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50100144,99 CENT FRESH PIZZA,Manhattan,143,WEST   40 STREET,10018,(212) 366-5550,Pizza,2/10/2020,Violations were cited in the following area(s).,N,12,A,2/10/2020,Pre-permit (Operational) / Initial Inspection,40.75442021,-73.98710355,3,5-Feb,99 Cent Fresh Pizza,$,3.5,168,"['delivery', 'pickup']",Garment District,['pizza'],40.754799,-73.987272,143 W 40th St,New York,10018,NY,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50049539,99¢ FRESH PIZZA,Manhattan,143,WEST   40 STREET,10018,(212) 366-5550,Pizza,6/13/2019,Violations were cited in the following area(s).,N,6,A,6/13/2019,Cycle Inspection / Initial Inspection,40.75442021,-73.98710355,9,10-Jun,99 Cent Fresh Pizza,$,3.5,168,"['delivery', 'pickup']",Garment District,['pizza'],40.754799,-73.987272,143 W 40th St,New York,10018,NY,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50078193,99 CENT TASTY & FRESH PIZZA,Manhattan,383,CANAL STREET,10013,(212) 966-1110,Pizza,10/28/2019,Violations were cited in the following area(s).,Y,10,A,10/28/2019,Cycle Inspection / Re-inspection,40.72142603,-74.00474042,10,10-Jun,99 Cent Fresh Pizza,N/A,4.5,16,"['delivery', 'pickup']",SoHo,['pizza'],40.72168909,-74.0046281,383 Canal St,New York,10013,NY,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50099879,99 CENTS TASTY PIZZA PLACE,Manhattan,360,WEST   42 STREET,10036,(212) 268-1461,Pizza,1/21/2020,Violations were cited in the following area(s).,Y,26,B,1/21/2020,Pre-permit (Operational) / Re-inspection,40.75791195,-73.99144162,8,10-Jun,99 Cent Fresh Pizza,$,3.5,173,"['delivery', 'pickup']",Garment District,['pizza'],40.7580832,-73.9923878,360 W 42nd St,New York,10036,NY,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50086277,99¢ FRESH PIZZA,Manhattan,71,2 AVENUE,10003,(212) 967-3310,Pizza,3/20/2019,Violations were cited in the following area(s).,Y,10,A,3/20/2019,Pre-permit (Operational) / Initial Inspection,40.72632504,-73.98933147,1,1,99 Cent Fresh Pizza,$,4,43,"['pickup', 'delivery']",Gramercy,['pizza'],40.7264595,-73.9895782,71 2nd Ave,New York,10003,NY,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50069442,A A JING,Manhattan,689,9 AVENUE,10036,(212) 245-0800,Asian,1/29/2020,Violations were cited in the following area(s).,Y,9,A,1/29/2020,Cycle Inspection / Re-inspection,40.76186429,-73.99013797,39,31+,A A Jing,$$,3.5,291,"['delivery', 'pickup']",Midtown West,"['chinese', 'asianfusion', 'panasian']",40.762,-73.99041,689 9th Ave,New York,10036,NY,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41204031,A LA TURKA,Manhattan,1417,2 AVENUE,10021,(212) 744-2424,Turkish,11/18/2019,Violations were cited in the following area(s).,Y,8,A,11/18/2019,Cycle Inspection / Re-inspection,40.7699731,-73.95751804,16,20-Nov,A La Turka,$$,3.5,369,"['delivery', 'pickup']",East Harlem,['turkish'],40.77013,-73.95774,1417 2nd Ave,New York,10021,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40783353,A SALT & BATTERY,Manhattan,112,GREENWICH AVENUE,10011,(212) 691-2713,Seafood,1/22/2020,Violations were cited in the following area(s).,Y,8,A,1/22/2020,Cycle Inspection / Initial Inspection,40.73847384,-74.00222648,4,5-Feb,A Salt & Battery,$$,3.5,794,"['delivery', 'pickup']",Greenwich Village,"['fishnchips', 'desserts']",40.73836699,-74.00202458,112 Greenwich Ave,New York,10011,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50067439,A TASTE OF SEAFOOD,Manhattan,1980,3 AVENUE,10029,(212) 427-3663,American,4/18/2019,Violations were cited in the following area(s).,N,10,A,4/18/2019,Cycle Inspection / Initial Inspection,40.79333858,-73.94338919,19,20-Nov,A Taste of Seafood,$$,3.5,52,"['delivery', 'pickup']",East Harlem,"['seafood', 'soulfood', 'breakfast_brunch']",40.79346,-73.94362,1980 3rd Ave,New York,10029,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50033885,A&H DELI,Manhattan,431,7 AVENUE,10001,(212) 563-6200,American,5/10/2019,Violations were cited in the following area(s).,N,7,A,5/10/2019,Cycle Inspection / Initial Inspection,40.75070965,-73.99081094,32,31+,A & H Food Plaza,$,4,47,"['pickup', 'delivery']",Garment District,"['delis', 'sandwiches']",40.7505188,-73.9905396,431 7th Ave,New York,10001,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40622601,A-1 PIZZA SHOP,Manhattan,505,GRAND STREET,10002,(212) 533-0214,Pizza,3/9/2020,Violations were cited in the following area(s).,N,11,A,3/9/2020,Cycle Inspection / Re-inspection,40.7146397,-73.98231003,32,31+,A-1 Pizza Shop,$,4,28,[],Lower East Side,['pizza'],40.71457,-73.98236,505 Grand St,New York,10002,NY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50078907,A-JIAO SICHUAN CHINESE,Manhattan,1817,2 AVENUE,10128,(212) 828-8996,Chinese,3/11/2020,Violations were cited in the following area(s).,Y,-1,Z,TBD,Cycle Inspection / Initial Inspection,40.78303421,-73.94798031,21,21-30,A-jiao,$$,3.5,129,"['delivery', 'pickup']",East Harlem,['chinese'],40.783159,-73.948244,1817 2nd Ave,New York,10128,NY,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50056830,A.W.O.L. BAR & GRILL,Manhattan,337,3 AVENUE,10010,(646) 682-9405,American,3/3/2020,Violations were cited in the following area(s).,Y,64,Z,TBD,Cycle Inspection / Initial Inspection,40.73996291,-73.98230688,24,21-30,AWOL Bar & Grill,$$,3.5,52,"['pickup', 'delivery']",Gramercy,"['tradamerican', 'pubs', 'cocktailbars']",40.7399763,-73.9820936,337 3rd Ave,New York,10010,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50049997,AAHAR,Manhattan,10,MURRAY STREET,10007,(646) 649-3374,Indian,10/29/2019,Violations were cited in the following area(s).,N,13,A,10/29/2019,Cycle Inspection / Initial Inspection,40.71329037,-74.00777347,32,31+,Aahar Indian Cuisine,$$,4.5,319,"['pickup', 'delivery']",Chinatown,['indpak'],40.71334,-74.0081,10 Murray St,New York,10007,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50074470,ABAITA,Manhattan,145,EAST   49 STREET,10017,(646) 808-5518,Jewish/Kosher,7/29/2019,Violations were cited in the following area(s).,N,11,A,7/29/2019,Cycle Inspection / Initial Inspection,40.7556335,-73.9722503,10,10-Jun,Abaita,N/A,4,73,"['delivery', 'pickup']",Midtown East,"['kosher', 'vegetarian', 'pizza']",40.75554148,-73.97187424,145 E 49th St,New York,10017,NY,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50071161,ABAYA THAI CUISINE,Manhattan,318,WEST   36 STREET,10018,(212) 868-3399,Thai,1/2/2020,Violations were cited in the following area(s).,N,13,A,1/2/2020,Cycle Inspection / Initial Inspection,40.75379768,-73.99332264,21,21-30,Abaya Thai,$$,2.5,73,"['delivery', 'pickup']",Garment District,['thai'],40.753665,-73.993568,318 W 36th St,New York,10018,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
